market1,market2,correlation
Abohar,Abu Road,0.865
Abohar,Achalda,0.946
Abohar,Achnera,0.725
Abohar,Adilabad(Rythu Bazar),0.756
Abohar,Adimali,0.717
Abohar,Agra,0.93
Abohar,Ahirora,0.929
Abohar,Ahmedabad,0.804
Abohar,Ahmednagar,0.865
Abohar,Ajmer(F&V),0.592
Abohar,Ajuha,0.95
Abohar,Akbarpur,0.927
Abohar,Alappuzha,0.817
Abohar,Aligarh,0.931
Abohar,Alipurduar,0.872
Abohar,Alirajpur(F&V),0.888
Abohar,Alwar (F&V),0.878
Abohar,Ambala Cantt.,0.868
Abohar,Ambala City(Subji Mandi),0.738
Abohar,Amrawati(Frui & Veg. Market),0.839
Abohar,Amritsar(Amritsar Mewa Mandi),0.934
Abohar,Amroha,0.918
Abohar,"Anand(Veg,Yard,Anand)",0.804
Abohar,Anandnagar,0.942
Abohar,Anchal,0.773
Abohar,Angamaly,0.766
Abohar,Angul(Atthamallick),0.579
Abohar,Ankleshwar,0.854
Abohar,Anoop Shahar,0.813
Abohar,Anwala,0.933
Abohar,Aralamoodu,0.735
Abohar,Asansol,0.866
Abohar,Ashahipora (Anantnagh),0.698
Abohar,Atarra,0.888
Abohar,Athirampuzha,0.844
Abohar,Attingal,0.711
Abohar,Auraiya,0.921
Abohar,Azadpur,0.822
Abohar,Azamgarh,0.942
Abohar,Baberu,0.893
Abohar,Badayoun,0.949
Abohar,Badwaha,0.907
Abohar,Bahraich,0.925
Abohar,Balarampur,0.907
Abohar,Ballabhgarh,0.845
Abohar,Ballia,0.946
Abohar,Balrampur,0.834
Abohar,Balugaon,0.881
Abohar,Banda,0.893
Abohar,Bandrol,0.749
Abohar,Bangarmau,0.926
Abohar,Bangarpet,0.8
Abohar,Barabanki,0.924
Abohar,Barara,0.854
Abohar,Barasat,0.887
Abohar,Baraut,0.916
Abohar,Bareilly,0.958
Abohar,Bargarh,0.881
Abohar,Bargarh(Barapalli),0.9
Abohar,Bariwala,0.608
Abohar,Barnala,0.957
Abohar,Barwala,0.885
Abohar,Basti,0.94
Abohar,Batote,0.927
Abohar,Bayana,0.749
Abohar,Belacoba,0.807
Abohar,Belgaum,0.865
Abohar,Bhadara,0.603
Abohar,Bhadrak,0.824
Abohar,Bharthna,0.946
Abohar,Bharuasumerpur,0.917
Abohar,Bharwari,0.96
Abohar,Bhawanigarh,0.931
Abohar,Bhawanipatna,0.848
Abohar,Bhiwani,0.883
Abohar,Bhopal(F&V),0.852
Abohar,Bhuna,0.847
Abohar,Bhuntar,0.857
Abohar,Bhusaval,0.829
Abohar,Biaora,0.87
Abohar,Bijnaur,0.928
Abohar,Bikaner (F&V),0.801
Abohar,Bilaspur,0.931
Abohar,Bilimora,0.859
Abohar,Bilsi,0.953
Abohar,Bindki,0.942
Abohar,"Binny Mill (F&V), Bangalore",0.766
Abohar,Birbhum,0.906
Abohar,Bowenpally,0.572
Abohar,Buland Shahr,0.927
Abohar,Ch. Dadri,0.888
Abohar,Chaandpur,0.911
Abohar,Chakdah,0.857
Abohar,Chamba,0.917
