at_risk_market,connected_shocked_markets,max_correlation,propagation_risk_score,estimated_days_until_shock,warning
Bilsi,61,0.985,6008.5,1,⚠️ SELL NOW
Fatehpur,61,0.984,6002.4,1,⚠️ SELL NOW
Haatpipliya,62,0.96,5952.0,1,⚠️ SELL NOW
Golagokarnath,61,0.975,5947.5,1,⚠️ SELL NOW
Ghaziabad,61,0.973,5935.3,1,⚠️ SELL NOW
Etawah,61,0.971,5923.1,1,⚠️ SELL NOW
Gorakhpur,61,0.964,5880.4,1,⚠️ SELL NOW
Bharthna,59,0.989,5835.1,1,⚠️ SELL NOW
Badayoun,59,0.989,5835.1,1,⚠️ SELL NOW
Bareilly,59,0.988,5829.2,1,⚠️ SELL NOW
Bharwari,59,0.987,5823.3,1,⚠️ SELL NOW
Baraut,60,0.97,5820.0,1,⚠️ SELL NOW
Gonda,60,0.966,5796.0,1,⚠️ SELL NOW
Charra,59,0.981,5787.9,1,⚠️ SELL NOW
Chitwadagaon,59,0.978,5770.2,1,⚠️ SELL NOW
Bhawanigarh,60,0.961,5766.0,1,⚠️ SELL NOW
Firozabad,59,0.976,5758.4,1,⚠️ SELL NOW
Bindki,59,0.976,5758.4,1,⚠️ SELL NOW
Chamba,60,0.958,5748.0,1,⚠️ SELL NOW
Chandabali,61,0.941,5740.1,1,⚠️ SELL NOW
Azamgarh,58,0.983,5701.4,1,⚠️ SELL NOW
Etah,59,0.965,5693.5,1,⚠️ SELL NOW
Buland Shahr,58,0.981,5689.8,1,⚠️ SELL NOW
Chandausi,58,0.981,5689.8,1,⚠️ SELL NOW
Ballia,58,0.978,5672.4,1,⚠️ SELL NOW
Jalore,59,0.957,5646.3,1,⚠️ SELL NOW
Barabanki,58,0.971,5631.8,1,⚠️ SELL NOW
Ajuha,57,0.988,5631.6,1,⚠️ SELL NOW
Bangarmau,57,0.982,5597.4,1,⚠️ SELL NOW
Achalda,57,0.981,5591.7,1,⚠️ SELL NOW
Auraiya,57,0.98,5586.0,1,⚠️ SELL NOW
Basti,57,0.98,5586.0,1,⚠️ SELL NOW
Ahirora,57,0.979,5580.3,1,⚠️ SELL NOW
Bharuasumerpur,57,0.978,5574.6,1,⚠️ SELL NOW
Amroha,57,0.978,5574.6,1,⚠️ SELL NOW
Chandoli,57,0.977,5568.9,1,⚠️ SELL NOW
Aligarh,57,0.975,5557.5,1,⚠️ SELL NOW
Anandnagar,57,0.975,5557.5,1,⚠️ SELL NOW
Chandigarh(Grain/Fruit),59,0.939,5540.1,1,⚠️ SELL NOW
Batote,57,0.967,5511.9,1,⚠️ SELL NOW
Agra,57,0.965,5500.5,1,⚠️ SELL NOW
Doraha,58,0.948,5498.4,1,⚠️ SELL NOW
Chirgaon,57,0.964,5494.8,1,⚠️ SELL NOW
Hindol,58,0.947,5492.6,1,⚠️ SELL NOW
