market,current_price,average_price,price_change_%,shock_level
Hospet,500.0,5785.71,-91.36,🔴 SEVERE SHOCK
Jalgaon,500.0,4728.57,-89.43,🔴 SEVERE SHOCK
Jaipur (F&V),1100.0,7907.14,-86.09,🔴 SEVERE SHOCK
Dhari,800.0,5671.43,-85.89,🔴 SEVERE SHOCK
Hassan,1000.0,5976.86,-83.27,🔴 SEVERE SHOCK
Kaithal,1200.0,6957.14,-82.75,🔴 SEVERE SHOCK
Kanakapura,1000.0,5714.29,-82.5,🔴 SEVERE SHOCK
Gangoh,1300.0,7007.14,-81.45,🔴 SEVERE SHOCK
Nuh,1000.0,5285.71,-81.08,🔴 SEVERE SHOCK
Jaunpur,1160.0,5946.43,-80.49,🔴 SEVERE SHOCK
Jind,1450.0,7421.43,-80.46,🔴 SEVERE SHOCK
Shadnagar,600.0,2985.71,-79.9,🔴 SEVERE SHOCK
Chandrapur(Ganjwad),800.0,3657.14,-78.12,🔴 SEVERE SHOCK
Hingna,1500.0,6528.57,-77.02,🔴 SEVERE SHOCK
Kangra(Baijnath),1800.0,7828.57,-77.01,🔴 SEVERE SHOCK
Kalwakurthy,475.0,1989.29,-76.12,🔴 SEVERE SHOCK
Chickkaballapura,540.0,2231.43,-75.8,🔴 SEVERE SHOCK
Jhansi,1780.0,7270.0,-75.52,🔴 SEVERE SHOCK
Kalipur,1900.0,7757.14,-75.51,🔴 SEVERE SHOCK
Sikanderabad,1300.0,5128.57,-74.65,🔴 SEVERE SHOCK
Chandvad,350.0,1371.43,-74.48,🔴 SEVERE SHOCK
Garh Shankar(Mahalpur),1200.0,4614.29,-73.99,🔴 SEVERE SHOCK
K.R. Pet,1000.0,3714.29,-73.08,🔴 SEVERE SHOCK
Hanumangarh Town,1200.0,4400.0,-72.73,🔴 SEVERE SHOCK
Garh Shankar,1700.0,6171.43,-72.45,🔴 SEVERE SHOCK
Chorichora,1720.0,6160.0,-72.08,🔴 SEVERE SHOCK
Nagpur,2350.0,8139.29,-71.13,🔴 SEVERE SHOCK
